source,postType,city,location,title,price,surface,rooms,furnished,url,scrape_date,post_code
Pararius,Buy,amsterdam,1053 PG Amsterdam (Van Lennepbuurt),Appartement Borgerstraat 137 E,€ 550.000 k.k.,66 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/1f7c716e/borgerstraat,2024-12-07,1053 PG
Pararius,Buy,amsterdam,1052 KW Amsterdam (Frederik Hendrikbuurt),Appartement Hugo de Grootplein 6 2,€ 545.000 k.k.,62 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/8bc36cb9/hugo-de-grootplein,2024-12-07,1052 KW
Pararius,Buy,amsterdam,1031 KA Amsterdam (Noordelijke IJ-oevers-West),Appartement Bundlaan 196,€ 1.800.000 k.k.,184 m²,7 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/14c863e2/bundlaan,2024-12-07,1031 KA
Pararius,Buy,amsterdam,1071 CK Amsterdam (Museumkwartier),Appartement Jan Luijkenstraat 23 C,€ 2.150.000 k.k.,192 m²,6 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/e7624147/jan-luijkenstraat,2024-12-07,1071 CK
Pararius,Buy,amsterdam,1018 WW Amsterdam (Oostelijke Eilanden/Kadijken),Appartement Kruithuisstraat 24,€ 550.000 k.k.,68 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/4655c90f/kruithuisstraat,2024-12-07,1018 WW
Pararius,Buy,amsterdam,1074 TT Amsterdam (Zuid Pijp),Appartement Jan Lievensstraat 62 2,€ 450.000 k.k.,54 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/07dda436/jan-lievensstraat,2024-12-07,1074 TT
Pararius,Buy,amsterdam,1017 GN Amsterdam (Grachtengordel-Zuid),Appartement Kerkstraat 66 C,€ 800.000 k.k.,95 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/4b8e4bf4/kerkstraat,2024-12-07,1017 GN
Pararius,Buy,amsterdam,1061 ST Amsterdam (Overtoomse Veld),Appartement Jan Mankesstraat 17 3,€ 400.000 k.k.,70 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/dab89030/jan-mankesstraat,2024-12-07,1061 ST
Pararius,Buy,amsterdam,1073 BP Amsterdam (Oude Pijp),Appartement Albert Cuypstraat 254 B,€ 475.000 k.k.,55 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/9828493a/albert-cuypstraat,2024-12-07,1073 BP
Pararius,Buy,amsterdam,1051 CN Amsterdam (Staatsliedenbuurt),Appartement De Kempenaerstraat 10 H,€ 550.000 k.k.,61 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/80d9f83e/de-kempenaerstraat,2024-12-07,1051 CN
Pararius,Buy,amsterdam,1052 LA Amsterdam (Frederik Hendrikbuurt),Appartement Tweede Hugo de Grootstraat 11 3,€ 850.000 k.k.,118 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/4fb6ea34/tweede-hugo-de-grootstraat,2024-12-07,1052 LA
Pararius,Buy,amsterdam,1102 GM Amsterdam (H-buurt),Appartement Haag en Veld 248 B,€ 290.000 k.k.,81 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/77d54506/haag-en-veld,2024-12-07,1102 GM
Pararius,Buy,amsterdam,1011 TT Amsterdam (Nieuwmarkt/Lastage),Appartement Rapenburg 7 1,€ 395.000 k.k.,40 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/151776e5/rapenburg,2024-12-07,1011 TT
