page_source,first_scrape_date,last_scrape_date,url,post_type,city,location,title,property_type,postcode,price,price_type,surface,surface_unit,rooms,furnished,postcode_1,gemeente,gemeente_code,wijk,wijk_code,buurt,buurt_code,stadsdeel_onderverdeling,stadsdeel,pc6_jaar
Pararius,2024-12-05,2024-12-17,https://www.pararius.nl/appartement-te-koop/amsterdam/dd268f34/haarlemmerweg,Buy,Amsterdam,1014 BL Amsterdam (Sloterdijk-West),Appartement Haarlemmerweg 396,Appartement,1014 BL,800000,k.k.,90,m²,3,,1014 BL,Amsterdam,GM0363,Sloterdijk-West,WK0363EA,Woon- en Groengebied Sloterdijk,BU0363EA03,Bos en Lommer,Stadsdeel West,2024
Pararius,2024-12-05,2024-12-18,https://www.pararius.nl/apartment-for-rent/amsterdam/5e4c4f2b/cornelis-van-rijplantsoen,Rent,Amsterdam,1063 MD Amsterdam (Slotermeer-Noordoost),Flat Cornelis van Rijplantsoen,Flat,1063 MD,2250,per month,81,m²,3,Furnished,1063 MD,Amsterdam,GM0363,Slotermeer-Noordoost,WK0363FD,Dobbebuurt,BU0363FD04,Geuzenveld-Slotermeer-Sloterdijken,Stadsdeel Nieuw-West,2024
Pararius,2024-12-05,2024-12-18,https://www.pararius.nl/huis-te-koop/amsterdam/f7378013/johan-herman-doornstraat,Buy,Amsterdam,1063 EC Amsterdam (Slotermeer-Noordoost),Huis Johan Herman Doornstraat 14,Huis,1063 EC,475000,k.k.,90,m²,4,,1063 EC,Amsterdam,GM0363,Slotermeer-Noordoost,WK0363FD,Coronelbuurt,BU0363FD02,Geuzenveld-Slotermeer-Sloterdijken,Stadsdeel Nieuw-West,2024
Pararius,2024-12-05,2024-12-18,https://www.pararius.nl/appartement-te-koop/amsterdam/287a33bd/beethovenstraat,Buy,Amsterdam,1077 JE Amsterdam (Prinses Irenebuurt e.o.),Appartement Beethovenstraat 217,Appartement,1077 JE,625000,k.k.,77,m²,2,,1077 JE,Amsterdam,GM0363,Prinses Irenebuurt e.o.,WK0363KN,Prinses Irenebuurt,BU0363KN01,Buitenveldert / Zuidas,Stadsdeel Zuid,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/8a9a35d1/grubbehoeve,Rent,Amsterdam,1103 GZ Amsterdam (Bijlmermuseum),Flat Grubbehoeve,Flat,1103 GZ,3000,per month,95,m²,5,Furnished,1103 GZ,Amsterdam,GM0363,Bijlmermuseum,WK0363TG,Bijlmermuseum-Noord,BU0363TG01,Bijlmer Oost,Stadsdeel Zuidoost,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/fbe5c94b/kanteel,Rent,Amsterdam,1083 DA Amsterdam (Buitenveldert-Oost),Flat Kanteel 12,Flat,1083 DA,2900,per month,131,m²,4,Upholstered,1083 DA,Amsterdam,GM0363,Buitenveldert-Oost,WK0363KR,Buitenveldert-Zuidoost,BU0363KR03,Buitenveldert / Zuidas,Stadsdeel Zuid,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/06ed856b/burgemeester-hogguerstraat,Rent,Amsterdam,1064 CM Amsterdam (Slotermeer-Zuidoost),Flat Burgemeester Hogguerstraat,Flat,1064 CM,2250,per month,80,m²,4,Upholstered,1064 CM,Amsterdam,GM0363,Slotermeer-Zuidoost,WK0363FE,Noordoever Sloterplas,BU0363FE03,Geuzenveld-Slotermeer-Sloterdijken,Stadsdeel Nieuw-West,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/744055a1/van-nijenrodeweg,Rent,Amsterdam,1083 EA Amsterdam (Buitenveldert-Oost),Flat Van Nijenrodeweg,Flat,1083 EA,2750,per month,88,m²,3,Upholstered,1083 EA,Amsterdam,GM0363,Buitenveldert-Oost,WK0363KR,Buitenveldert-Zuidoost,BU0363KR03,Buitenveldert / Zuidas,Stadsdeel Zuid,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/9becef7b/paasbergpad,Rent,Amsterdam,1105 AM Amsterdam (Amstel III/Bullewijk),Flat Paasbergpad,Flat,1105 AM,2164,per month,79,m²,3,,1105 AM,Amsterdam,GM0363,Amstel III/Bullewijk,WK0363TA,Amstel III deel A/B-Zuid,BU0363TA05,Bijlmer Centrum,Stadsdeel Zuidoost,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/3d9a0094/cola-debrotstraat,Rent,Amsterdam,1087 VJ Amsterdam (IJburg-Oost),Flat Cola Debrotstraat,Flat,1087 VJ,2250,per month,70,m²,2,Furnished,1087 VJ,Amsterdam,GM0363,IJburg-Oost,WK0363MK,Centrumeiland,BU0363MK04,IJburg / Eiland Zeeburg,Stadsdeel Oost,2024
